,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Klaksvik,100,FO,1580239795,100,62.23,-6.59,30.2,1.12
1,Muli,0,MV,1580239795,75,2.92,73.57,81.07,15.77
2,Suhaia,20,RO,1580239795,86,43.73,25.25,41.0,2.24
3,Coelho Neto,51,BR,1580239795,84,-4.26,-43.01,85.19,3.85
4,Abu Samrah,98,SY,1580239606,76,35.3,37.18,49.95,6.78
5,Bluff,86,NZ,1580239228,80,-46.6,168.33,61.0,5.77
6,Rikitea,100,PF,1580239235,79,-23.12,-134.97,79.0,11.34
7,Lompoc,1,US,1580239238,51,34.64,-120.46,71.01,12.75
8,Chinsali,62,ZM,1580239796,95,-10.54,32.08,66.92,4.5
9,Barrow,1,US,1580239249,67,71.29,-156.79,-27.4,4.7
10,Punta Arenas,40,CL,1580239338,50,-53.15,-70.92,53.6,33.33
11,Salihli,0,TR,1580239796,82,38.48,28.15,47.1,3.47
12,Kirakira,86,SB,1580239299,84,-10.45,161.92,77.52,2.57
13,Oxford,20,GB,1580239500,100,51.75,-1.26,39.2,8.05
14,Usinsk,20,RU,1580239796,98,65.99,57.53,-22.79,6.98
15,Mitchell,90,US,1580239645,92,43.71,-98.03,26.6,5.82
16,Yulara,0,AU,1580239797,18,-25.24,130.99,84.2,10.29
17,Busselton,11,AU,1580239539,53,-33.65,115.33,66.0,5.97
18,Carnarvon,0,AU,1580239553,88,-24.87,113.63,77.0,20.8
19,Mar del Plata,11,AR,1580239554,28,-38.0,-57.56,91.99,26.4
20,Vaini,75,TO,1580239159,100,-21.2,-175.2,77.0,1.12
21,Albany,90,US,1580239164,59,42.6,-73.97,37.0,16.11
22,Tasiilaq,75,GL,1580239550,54,65.61,-37.64,28.4,2.24
23,Mosetse,55,BW,1580239797,44,-20.75,26.65,82.33,13.71
24,Ginir,67,ET,1580239797,90,7.13,40.7,59.43,0.69
25,Ushuaia,75,AR,1580239160,81,-54.8,-68.3,48.2,29.97
26,Tuktoyaktuk,75,CA,1580239544,74,69.45,-133.04,-23.8,8.05
27,Puerto Ayora,20,EC,1580239797,62,-0.74,-90.35,86.0,9.17
28,Souillac,20,MU,1580239797,78,-20.52,57.52,75.2,3.36
29,Durham,1,US,1580239651,43,36.03,-78.87,54.0,4.7
30,Isangel,75,VU,1580239798,94,-19.55,169.27,73.4,11.52
31,Darnah,1,LY,1580239701,73,32.77,22.64,60.28,19.37
32,George Town,20,MY,1580239798,83,5.41,100.34,84.0,8.05
33,East London,0,ZA,1580239798,77,-33.02,27.91,66.2,5.82
34,New Norfolk,75,AU,1580239540,67,-42.78,147.06,62.6,11.41
35,Cape Town,75,ZA,1580239647,82,-33.93,18.42,71.01,12.75
36,Garachine,0,PA,1580239798,74,8.06,-78.36,80.46,8.99
37,Torbay,90,CA,1580239798,100,47.67,-52.73,32.0,9.17
38,Chokurdakh,95,RU,1580239798,98,70.63,147.92,-24.38,8.93
39,Praia da Vitoria,75,PT,1580239671,88,38.73,-27.07,66.2,22.62
40,Oodweyne,1,SO,1580239798,45,9.41,45.06,68.97,11.81
41,Saskylakh,38,RU,1580239294,96,71.92,114.08,-18.58,8.16
42,Belmonte,40,BR,1580239798,79,-15.86,-38.88,86.0,11.41
43,Puerto Cabezas,40,NI,1580239799,74,14.04,-83.39,84.2,6.93
44,Norman Wells,75,CA,1580239666,74,65.28,-126.83,-25.6,3.36
45,Sagua la Grande,75,CU,1580239799,51,22.81,-80.08,84.2,10.29
46,Vila Velha,75,BR,1580239465,79,-20.33,-40.29,84.99,14.99
47,Mataura,100,NZ,1580239328,80,-46.19,168.86,61.0,1.86
48,Yangi Marg`ilon,0,UZ,1580239537,80,40.43,71.72,33.8,2.24
49,Pevek,100,RU,1580239553,96,69.7,170.31,-0.35,7.92
50,Minab,0,IR,1580239800,81,27.15,57.08,51.8,2.24
51,Arraial do Cabo,20,BR,1580239379,74,-22.97,-42.03,89.6,9.17
52,Watsa,90,CD,1580239800,41,3.04,29.54,70.84,2.35
53,Hermanus,3,ZA,1580239305,92,-34.42,19.23,66.0,8.01
54,Upernavik,100,GL,1580239083,90,72.79,-56.15,-12.66,4.59
55,Dongtai,0,CN,1580239800,78,32.85,120.31,42.01,5.5
56,Dikson,56,RU,1580239258,98,73.51,80.55,-13.85,12.35
57,Lisakovsk,0,KZ,1580239800,87,52.54,62.49,-3.66,7.4
58,Tiksi,97,RU,1580239363,87,71.69,128.87,-23.21,4.18
59,Chirawa,44,IN,1580239800,64,28.24,75.64,55.04,6.78
60,Asau,40,RO,1580239414,80,46.43,26.4,39.2,5.82
61,Port Elizabeth,0,ZA,1580239202,88,-33.92,25.57,64.4,14.99
62,Esperance,90,AU,1580239329,100,-33.87,121.9,66.2,8.05
63,Tabuk,37,PH,1580239801,92,17.42,121.44,65.86,5.59
64,Alenquer,75,BR,1580239801,70,-1.94,-54.74,86.0,3.36
65,Te Horo,100,NZ,1580239801,88,-40.81,175.12,69.01,21.92
66,Nara,90,JP,1580239685,93,34.69,135.8,52.0,18.34
67,Bredasdorp,0,ZA,1580239250,72,-34.53,20.04,68.0,11.65
68,Maceio,40,BR,1580239519,66,-9.67,-35.74,86.0,13.87
69,Jamestown,90,US,1580239289,86,42.1,-79.24,34.0,9.17
70,Acarau,57,BR,1580239702,60,-2.89,-40.12,87.31,12.01
71,Nikolskoye,90,RU,1580239111,95,59.7,30.79,32.0,11.18
72,Hervey Bay,17,AU,1580239801,94,-25.3,152.85,75.0,1.12
73,Hilo,90,US,1580239155,83,19.73,-155.09,72.0,11.41
74,Yellowknife,90,CA,1580239293,84,62.46,-114.35,1.0,6.93
75,Boguchany,100,RU,1580239802,95,58.38,97.45,15.55,3.49
76,Lavrentiya,0,RU,1580239802,79,65.58,-171.0,-12.37,7.52
77,Palmer,90,US,1580239342,48,42.16,-72.33,39.2,14.99
78,Bosaso,0,SO,1580239802,62,11.28,49.18,74.07,25.43
79,Cabo San Lucas,5,MX,1580239254,49,22.89,-109.91,79.0,8.05
80,Leningradskiy,94,RU,1580239491,91,69.38,178.42,-11.38,9.28
81,Prince Rupert,90,CA,1580239752,93,54.32,-130.32,41.0,3.36
82,Koygorodok,0,RU,1580239803,97,60.45,51.0,-15.16,4.07
83,Banda Aceh,99,ID,1580239600,90,5.56,95.32,73.49,1.97
84,Hoquiam,90,US,1580239803,100,46.98,-123.89,53.01,8.88
85,Mount Isa,90,AU,1580239538,94,-20.73,139.5,75.2,11.41
86,Saint-Philippe,20,RE,1580239180,73,-21.36,55.77,73.4,5.82
87,Houma,75,US,1580239794,72,29.6,-90.72,66.99,6.93
88,Kirkuk,96,IQ,1580239644,57,35.47,44.39,48.18,4.9
89,Naze,75,JP,1580239538,77,28.37,129.48,60.8,16.11
90,Sunrise Manor,20,US,1580239804,33,36.21,-115.07,59.0,3.36
91,Qaanaaq,96,GL,1580239167,80,77.48,-69.36,-11.74,2.01
92,Barra de Tecoanapa,0,MX,1580239805,50,16.52,-98.75,87.62,11.23
93,Urucuca,20,BR,1580239805,66,-14.59,-39.28,87.8,9.17
94,Aklavik,90,CA,1580239348,74,68.22,-135.01,-22.0,11.41
95,Padang,100,ID,1580239805,99,-0.95,100.35,68.45,0.56
96,Ribeira Grande,75,PT,1580239237,100,38.52,-28.7,62.6,13.87
97,Gisborne,6,NZ,1580239792,91,-38.65,178.0,63.54,2.71
98,Butaritari,90,KI,1580239253,81,3.07,172.79,83.73,18.75
99,Ubinskoye,93,RU,1580239805,95,55.31,79.68,5.97,10.25
100,Santa Cruz de la Sierra,75,BO,1580239752,49,-17.8,-63.17,91.4,3.36
101,Agadir,0,MA,1580239564,37,30.42,-9.6,66.2,9.17
102,Bilma,82,NE,1580239337,8,18.69,12.92,68.94,4.9
103,Kaitangata,100,NZ,1580239576,89,-46.28,169.85,60.01,1.01
104,Jutai,100,BR,1580239685,95,-5.18,-68.9,77.58,2.53
105,Atuona,1,PF,1580239165,79,-9.8,-139.03,80.98,15.19
106,Salalah,0,OM,1580239423,19,17.02,54.09,68.0,9.17
107,Codrington,32,AU,1580239413,88,-38.27,141.97,60.91,8.99
108,Saint-Leu,60,RE,1580239806,73,-21.15,55.28,73.4,5.82
109,Carballo,90,ES,1580239806,93,43.21,-8.69,54.0,1.12
110,Saurimo,67,AO,1580239806,94,-9.66,20.39,67.62,1.77
111,Mahebourg,20,MU,1580239317,78,-20.41,57.7,75.2,3.36
112,Kapaa,1,US,1580239264,88,22.08,-159.32,73.4,8.05
113,Arnold,75,GB,1580239807,80,53.0,-1.13,41.0,14.99
114,Wilmington Island,20,US,1580239807,36,32.0,-80.97,64.0,5.82
115,Isla Vista,1,US,1580239807,52,34.41,-119.86,71.01,5.82
116,Goundam,0,ML,1580239807,8,16.41,-3.67,77.11,9.51
117,Paamiut,1,GL,1580239368,51,61.99,-49.67,13.08,11.81
118,Khatanga,81,RU,1580239273,97,71.97,102.5,-5.8,7.99
119,Rio Gallegos,40,AR,1580239611,44,-51.62,-69.22,57.2,35.57
120,Cherskiy,100,RU,1580239576,97,68.75,161.3,-22.32,10.16
121,Port Alfred,0,ZA,1580239275,84,-33.59,26.89,66.0,3.0
122,Neuquen,20,AR,1580239524,21,-38.95,-68.06,84.2,17.22
123,Green River,90,US,1580239566,68,41.53,-109.47,33.01,19.46
124,Katsuura,75,JP,1580239286,93,35.13,140.3,48.99,18.34
125,Mossamedes,83,AO,1580239630,85,-15.2,12.15,75.45,12.8
126,Labuhan,51,ID,1580239562,89,-6.88,112.21,76.93,1.81
127,Barcelos,90,PT,1580239446,100,41.54,-8.62,59.0,11.41
128,Arrondissement de Toul,75,FR,1580239808,93,48.67,5.92,39.2,12.75
129,Laguna,90,US,1580239167,76,38.42,-121.42,60.01,4.7
130,Korla,0,CN,1580239589,92,41.76,86.15,30.99,1.99
131,Valleyview,71,CA,1580239808,83,55.07,-117.29,25.97,4.16
132,Rawson,33,AR,1580239319,70,-43.3,-65.1,60.1,20.83
133,Boa Vista,40,BR,1580239669,44,2.82,-60.67,93.2,10.29
134,Ponta do Sol,20,PT,1580239387,67,32.67,-17.1,62.6,4.7
135,Bethel,90,US,1580239346,64,41.37,-73.41,42.01,8.05
136,Waingapu,99,ID,1580239497,78,-9.66,120.26,83.7,8.61
137,Kostomuksha,100,RU,1580239809,93,64.57,30.58,15.91,10.0
138,Tuatapere,68,NZ,1580239451,80,-46.13,167.68,61.0,3.22
139,Hasaki,75,JP,1580239529,93,35.73,140.83,59.0,24.16
140,Koppang,100,NO,1580239809,95,61.57,11.06,27.0,6.69
141,Grand Gaube,20,MU,1580239807,78,-20.01,57.66,75.2,3.36
142,Mount Gambier,90,AU,1580239565,93,-37.83,140.77,50.0,1.12
143,Cayenne,75,GF,1580239383,70,4.93,-52.33,86.0,13.87
144,Aykhal,100,RU,1580239644,96,66.0,111.5,0.57,14.7
145,Chapais,1,CA,1580239426,66,49.78,-74.85,12.2,6.93
146,Caravelas,83,BR,1580239479,83,-17.71,-39.25,80.87,12.73
147,Crucea,68,RO,1580239809,100,44.53,28.23,37.4,10.29
148,Nago,90,JP,1580239810,82,26.59,127.98,62.6,6.93
149,Faanui,93,PF,1580239375,75,-16.48,-151.75,82.47,8.7
150,Natal,20,BR,1580239810,66,-5.79,-35.21,86.0,12.75
151,Cidreira,12,BR,1580239206,72,-30.18,-50.21,74.88,13.6
152,Ancud,40,CL,1580239165,45,-41.87,-73.82,62.6,12.75
153,Longyearbyen,83,SJ,1580239199,71,78.22,15.64,3.2,8.05
154,Hobart,40,AU,1580238968,67,-42.88,147.33,62.6,10.29
155,Fukuecho,75,JP,1580239810,81,32.69,128.84,51.8,9.17
156,Severo-Yeniseyskiy,94,RU,1580239810,92,60.37,93.04,17.69,6.91
157,Pisco,75,PE,1580239333,30,-13.7,-76.22,75.99,8.05
158,Wad Rawah,5,SD,1580239810,27,15.16,33.14,66.74,10.04
159,Madison Heights,90,US,1580239810,74,42.49,-83.11,36.0,8.05
160,Cockburn Town,0,TC,1580239811,75,21.46,-71.14,77.67,10.54
161,Sitka,75,US,1580239353,95,57.05,-135.33,33.8,10.29
162,Varca,40,IN,1580239811,78,15.22,73.92,77.0,6.93
163,Bengkulu,100,ID,1580239263,90,-3.8,102.27,76.12,4.14
164,Bambous Virieux,20,MU,1580239455,78,-20.34,57.76,75.2,3.36
165,Narsaq,75,GL,1580239435,66,60.92,-46.05,15.8,1.34
166,Camacha,40,PT,1580239647,63,33.08,-16.33,62.6,6.93
167,Havre-Saint-Pierre,90,CA,1580239811,67,50.23,-63.6,17.6,5.82
168,Thompson,90,CA,1580239369,85,55.74,-97.86,14.0,6.93
169,Hamilton,90,US,1580239230,74,39.18,-84.53,36.0,3.36
170,Manggar,100,ID,1580239696,77,-2.88,108.27,82.83,5.55
171,Kyaikkami,0,MM,1580239811,69,16.08,97.57,71.4,8.88
172,Chengde,100,CN,1580239811,70,40.97,117.94,21.87,2.91
173,Emerald,75,AU,1580239812,100,-23.53,148.17,75.2,8.05
174,Reinosa,30,ES,1580239812,76,43.0,-4.14,55.0,4.7
175,Lagoa,100,PT,1580239219,88,39.05,-27.98,64.08,17.65
176,Canhotinho,100,BR,1580239812,76,-8.88,-36.19,76.37,10.89
177,Inta,96,RU,1580239812,97,66.03,60.17,-22.61,8.34
178,Iracoubo,60,GF,1580239812,83,5.48,-53.2,80.35,13.4
179,Dalbandin,0,PK,1580239812,60,28.89,64.41,43.34,6.44
180,Inhambane,0,MZ,1580239394,100,-23.86,35.38,41.0,13.2
181,Barsovo,100,RU,1580239813,75,61.17,73.17,-16.6,11.18
182,Saint George,1,US,1580239185,45,37.1,-113.58,51.8,1.79
183,Boquira,64,BR,1580239547,62,-12.82,-42.73,86.14,1.92
184,Hobyo,36,SO,1580239586,70,5.35,48.53,76.78,22.15
185,Sao Filipe,72,CV,1580239414,58,14.9,-24.5,73.62,21.32
186,George,43,ZA,1580239813,88,-33.96,22.46,64.4,2.24
187,Jalu,0,LY,1580239536,47,29.03,21.55,59.36,5.61
188,Vanavara,100,RU,1580239813,95,60.34,102.28,9.72,3.02
189,Boca do Acre,100,BR,1580239813,92,-8.75,-67.4,80.87,3.65
190,Te Anau,100,NZ,1580239813,88,-45.42,167.72,55.81,4.97
191,Provideniya,0,RU,1580239274,69,64.38,-173.3,-9.4,4.47
192,Sheffield Lake,90,US,1580239814,74,41.49,-82.1,35.01,11.41
193,Airai,100,TL,1580239173,86,-8.93,125.41,68.67,4.0
194,Gorontalo,26,ID,1580239814,94,0.54,123.06,73.38,4.56
195,Castro,11,BR,1580239227,40,-24.79,-50.01,84.76,3.47
196,Hong Kong,20,HK,1580239487,46,22.29,114.16,54.0,13.87
197,Naron,90,ES,1580239814,93,43.52,-8.15,55.0,1.12
198,Tamworth,60,GB,1580239814,80,52.63,-1.7,41.0,6.93
199,Road Town,40,VG,1580239784,74,18.42,-64.62,82.4,8.05
200,Ankazoabo,0,MG,1580239814,87,-22.28,44.52,70.75,8.93
201,Ambilobe,100,MG,1580239814,90,-13.2,49.05,76.41,3.2
202,Prachuap Khiri Khan,67,TH,1580239814,75,11.82,99.78,73.85,5.5
203,San Cristobal,40,VE,1580239345,58,7.77,-72.22,86.0,8.05
204,Gebre Guracha,50,ET,1580239815,27,9.8,38.4,64.44,3.6
205,Verkhnyaya Inta,97,RU,1580239815,99,65.98,60.31,-23.57,7.11
206,Semenyih,40,MY,1580239815,88,2.95,101.84,82.0,4.7
207,Chernyshevskiy,91,RU,1580239607,90,63.01,112.47,3.78,4.97
208,Wukari,0,NG,1580239802,14,7.85,9.78,78.1,4.21
209,Mhango,100,TZ,1580239815,96,-3.28,32.85,63.27,1.99
210,Petropavlovsk-Kamchatsky,100,RU,1580239425,73,53.05,158.65,19.4,4.47
211,Oleksandrivka,100,UA,1580239815,98,48.96,32.23,36.09,5.37
212,Ardakan,0,IR,1580239707,48,32.31,54.02,39.2,4.7
213,Luderitz,0,NA,1580239206,83,-26.65,15.16,65.23,22.19
214,Kavaratti,0,IN,1580239437,63,10.57,72.64,81.07,4.68
215,Ponta Delgada,75,PT,1580239586,100,37.73,-25.67,60.8,21.92
216,Voh,50,NC,1580239816,76,-20.97,164.7,78.55,5.7
217,Sur,0,OM,1580239404,47,22.57,59.53,64.85,16.93
218,Ketchikan,75,US,1580239308,93,55.34,-131.65,41.0,13.87
219,Constitucion,21,CL,1580239555,70,-35.33,-72.42,69.33,17.18
220,Sao Joao da Barra,20,BR,1580239500,59,-21.64,-41.05,89.6,13.87
221,Bhalki,0,IN,1580239816,47,18.03,77.22,68.67,8.28
222,Makakilo City,90,US,1580239446,73,21.35,-158.09,75.2,1.86
223,Fortuna,90,US,1580239549,87,40.6,-124.16,57.0,12.75
224,Okhotsk,0,RU,1580239344,63,59.38,143.3,-13.38,10.18
225,Gornopravdinsk,97,RU,1580239816,98,60.05,69.9,-17.14,5.79
226,Nanortalik,67,GL,1580239191,72,60.14,-45.24,22.12,16.24
227,Avarua,18,CK,1580239322,88,-21.21,-159.78,80.6,5.82
228,Smithers,75,CA,1580239817,92,54.78,-127.17,26.6,5.82
229,Iqaluit,75,CA,1580239371,67,63.75,-68.51,-22.0,20.8
230,Mugur-Aksy,44,RU,1580239817,94,50.35,90.5,-7.76,8.72
231,Quesnel,1,CA,1580239817,64,53.0,-122.5,37.4,9.17
232,Ilulissat,75,GL,1580239283,49,69.22,-51.1,3.2,17.22
233,Poum,100,NC,1580239595,81,-20.23,164.02,79.38,17.22
234,Ust-Nera,55,RU,1580239817,100,64.57,143.2,-46.46,2.46
235,Mayo,90,US,1580239536,60,38.89,-76.51,45.0,9.17
236,Fayaoue,100,NC,1580239817,81,-20.65,166.53,77.72,16.84
237,Khorinsk,32,RU,1580239817,93,52.17,109.77,-1.08,3.0
238,Parichhatgarh,23,IN,1580239817,96,28.98,77.93,53.69,6.93
239,Harindanga,40,IN,1580239817,82,22.04,88.32,62.6,3.36
240,Umri,69,IN,1580239818,80,26.51,78.94,60.3,4.29
241,Kodiak,1,US,1580239408,78,57.79,-152.41,15.8,8.05
242,Nizwa,0,OM,1580239590,61,22.93,57.53,55.09,4.45
243,Maun,14,BW,1580239818,57,-19.98,23.42,80.6,6.93
244,Ormstown,90,CA,1580239818,68,45.13,-74.0,30.99,9.17
245,Aracati,32,BR,1580239818,78,-4.56,-37.77,79.81,6.35
246,Luganville,40,VU,1580239818,94,-15.53,167.17,77.0,1.12
247,Sobolevo,92,RU,1580239241,97,54.43,31.9,31.59,8.46
248,Mae Hong Son,0,TH,1580239818,44,19.3,97.97,51.55,2.3
249,Aksu,0,CN,1580239587,61,41.12,80.26,24.22,0.63
250,Bagdarin,82,RU,1580239818,100,54.43,113.6,-7.4,0.27
251,Moctezuma,0,MX,1580239819,20,29.8,-109.67,65.03,4.81
252,Shingu,68,JP,1580239819,76,33.73,135.98,54.88,8.57
253,Lata,75,PT,1580239297,87,40.16,-8.33,60.01,6.93
254,Biscarrosse,75,FR,1580239819,81,44.39,-1.17,51.8,11.41
255,Nemuro,98,JP,1580239796,59,43.32,145.57,28.13,6.06
256,Tocopilla,0,CL,1580239331,35,-22.09,-70.2,76.19,13.71
257,Yar-Sale,99,RU,1580239607,94,66.83,70.83,-6.45,19.37
258,Port Blair,89,IN,1580239528,61,11.67,92.75,77.77,9.37
259,Hambantota,40,LK,1580239819,100,6.12,81.12,71.6,2.24
260,Yuncheng,0,CN,1580239819,69,35.02,110.99,32.22,4.85
261,Sandwick,40,GB,1580239599,86,60.0,-1.25,37.4,3.36
262,Am Timan,0,TD,1580239819,12,11.03,20.28,70.25,5.17
263,Nuevitas,40,CU,1580239819,51,21.55,-77.26,84.2,10.29
264,Gorom-Gorom,100,BF,1580239820,7,14.44,-0.24,77.36,11.05
265,Cifuentes,75,CU,1580239820,51,22.64,-80.05,84.2,10.29
266,Doha,0,QA,1580239684,67,25.29,51.53,60.8,5.82
267,Plettenberg Bay,0,ZA,1580239820,76,-34.05,23.37,64.56,7.72
268,Tobol,0,KZ,1580239820,87,52.68,62.58,-6.12,5.12
269,Muros,75,ES,1580239599,100,42.78,-9.06,57.0,3.36
270,Kuching,75,MY,1580239820,100,1.55,110.33,77.0,2.24
271,Sola,90,VU,1580239603,94,-13.88,167.55,80.6,11.23
272,Dubbo,77,AU,1580239587,33,-32.25,148.62,75.2,10.29
273,Gigmoto,34,PH,1580239820,76,13.78,124.39,79.36,3.91
274,Opuwo,100,NA,1580239556,37,-18.06,13.84,83.34,9.17
275,Shelburne,90,CA,1580239821,86,44.08,-80.2,34.0,3.36
276,Humboldt,90,US,1580239821,87,40.67,-123.92,57.0,12.75
277,Shar,73,KZ,1580239821,78,49.59,81.05,20.34,15.55
278,Psyzh,100,RU,1580239821,8,44.23,42.02,37.99,15.01
279,Luau,97,AO,1580239821,97,-10.71,22.22,65.52,1.01
280,Puertollano,75,ES,1580239821,93,38.69,-4.11,52.0,5.82
281,Haines Junction,56,CA,1580239576,91,60.75,-137.51,2.66,6.87
282,Kondinskoye,53,RU,1580239821,96,59.65,67.41,-16.26,7.54
283,Trat,5,TH,1580239821,90,12.5,102.5,71.1,1.12
284,Tizapan el Alto,5,MX,1580239822,37,20.17,-103.07,73.99,7.85
285,Alcacer do Sal,20,PT,1580239822,93,38.37,-8.51,59.0,6.93
286,Camargo,0,MX,1580239822,16,27.67,-105.17,63.43,11.05
287,Fallon,75,US,1580239696,45,39.47,-118.78,53.01,4.7
